Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
76,Tyrese Haliburton\halibty01,PG,20,SAC,28,2,29.7,4.9,9.9,.498,2.3,5.3,.442,2.6,4.6,.562,.616,0.6,0.7,.842,1.0,2.5,3.5,5.3,1.3,0.6,1.5,1.3,12.8
77,P.J. Tucker\tuckepj01,PF,35,HOU,27,27,29.7,1.6,4.3,.365,0.9,2.8,.320,0.7,1.5,.450,.470,0.5,0.6,.824,1.0,3.6,4.5,1.3,0.9,0.5,1.0,3.0,4.5
78,Seth Curry\curryse01,SG,30,PHI,24,24,29.6,4.5,9.5,.476,2.0,4.5,.454,2.5,5.0,.496,.584,1.9,2.0,.938,0.2,1.8,2.0,2.7,0.8,0.3,1.5,1.8,12.9
79,Kendrick Nunn\nunnke01,PG,25,MIA,23,11,29.5,5.7,11.8,.478,2.2,5.7,.379,3.5,6.1,.571,.570,1.1,1.3,.897,0.4,2.9,3.3,2.6,1.2,0.3,1.9,1.9,14.6
80,Clint Capela\capelca01,C,26,ATL,27,27,29.4,6.6,11.0,.598,0.0,0.0,,6.6,11.0,.598,.598,1.8,3.2,.563,4.6,9.3,13.9,1.0,0.8,2.2,1.4,2.3,14.9
81,Eric Gordon\gordoer01,SG,32,HOU,23,11,29.3,6.2,13.7,.452,2.7,7.9,.337,3.5,5.8,.609,.549,3.5,4.1,.842,0.3,2.0,2.3,2.8,0.5,0.5,1.9,1.5,18.5
82,Richaun Holmes\holmeri01,C,27,SAC,26,26,29.3,5.4,8.3,.650,0.0,0.2,.200,5.4,8.2,.660,.652,1.8,2.3,.783,2.5,5.3,7.8,1.8,0.7,1.6,1.5,4.1,12.7
83,Dillon Brooks\brookdi01,SF,25,MEM,24,24,29.2,6.1,15.4,.397,1.9,6.0,.319,4.2,9.4,.447,.459,1.7,2.1,.800,1.0,2.2,3.3,2.6,1.3,0.4,2.3,3.3,15.8
84,Mike Conley\conlemi01,PG,33,UTA,25,25,29.2,5.6,12.5,.447,2.8,6.8,.412,2.8,5.7,.490,.559,2.4,2.9,.822,0.9,2.5,3.4,5.6,1.4,0.1,1.9,1.8,16.4
85,Draymond Green\greendr01,PF,30,GSW,26,26,29.2,2.0,5.5,.359,0.4,1.9,.224,1.5,3.6,.430,.398,0.9,1.3,.676,0.7,5.0,5.7,8.1,1.3,0.7,2.6,3.1,5.2
86,Delon Wright\wrighde01,SG,28,DET,29,24,29.2,3.8,8.1,.468,1.0,2.5,.384,2.8,5.6,.506,.528,2.1,2.7,.785,1.1,3.5,4.6,4.9,1.4,0.5,1.2,1.1,10.7
87,Terrence Ross\rosste01,SG,29,ORL,30,1,29.0,5.7,13.5,.420,2.1,5.8,.358,3.6,7.7,.466,.496,2.3,2.5,.895,0.3,3.0,3.3,2.1,1.0,0.5,1.8,2.0,15.7
88,P.J. Washington\washipj01,PF,22,CHO,26,26,29.0,4.2,9.5,.435,1.2,3.4,.360,2.9,6.1,.478,.500,2.0,2.7,.754,1.5,4.8,6.3,3.0,1.0,1.2,2.2,2.7,11.5
89,Andre Drummond\drumman01,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
90,Cam Reddish\reddica01,SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2
91,Mitchell Robinson\robinmi01,C,22,NYK,27,27,28.8,3.8,5.8,.660,0.0,0.0,,3.8,5.8,.660,.660,0.8,1.7,.478,3.6,4.8,8.4,0.5,1.2,1.5,0.8,2.9,8.4
92,Eric Bledsoe\bledser01,SG,31,NOP,29,28,28.6,4.6,10.3,.441,2.1,5.2,.395,2.5,5.1,.490,.542,1.3,2.0,.644,0.4,2.9,3.4,3.6,0.7,0.3,1.7,1.4,12.5
93,Norman Powell\powelno01,SG,27,TOR,29,18,28.6,5.7,12.1,.471,2.4,5.5,.438,3.3,6.6,.500,.571,3.2,3.7,.887,0.4,2.6,3.0,1.5,1.1,0.1,1.6,2.0,17.0
